Fecha,Noticia,Sentiment_Polarity,Sentiment_Subjectivity
2024-12-05 09:30:07.163908,"Why Amazon Surged 11.5% in November. Shares of Amazon (NASDAQ: AMZN) rallied 11.5% in November, according to data from S&P Global Market Intelligence. Amazon's strong performance came on the...",0.21666666666666667,0.3666666666666667
2024-12-05 09:30:07.169958,"Why Amazon Surged 11.5% in November. The cloud and e-commerce giant delivered outsized earnings and strong guidance. Additionally, Amazon made exciting AI- and e-commerce-oriented announcements...",0.24444444444444446,0.8444444444444444
2024-12-05 09:25:07.173988,"Jeff Bezos says he's 'putting a lot of time' in at Amazon to help it become an AI winner. Speaking at The New York Times's DealBook conference on Wednesday, the billionaire said he hasn't fully left the company he founded 30 years ago.",0.06818181818181818,0.22727272727272727
2024-12-05 09:30:07.179785,"Amazon taps Hinge Health as MSK care partner, expanding digital health benefits program. It marks the fourth company to join Amazon Health Services' digital health benefits program, following Omada Health, Talkspace and Rula Health.",0.0,0.025
2024-12-05 08:30:07.211514,"Amazon Refreshes AI Story With New Chips, Models And Platform Tools. At their annual re:Invent conference, Amazon's Web Services (AWS) business announced a range of products and services primarily focused on enhancements to...",0.2681818181818182,0.4772727272727273
2024-12-05 08:30:07.251629,"Amazon: Multiple Margin Levers Drive Earnings Growth (NASDAQ:AMZN). My last 'Buy' view on Amazon has been playing out well so far, as it has outperformed the S&P 500. See why I continue to rate AMZN stock as a buy.",0.03333333333333333,0.35555555555555557
2024-12-05 08:30:07.277011,Jeff Bezos says Blue Origin 'is not a very good business yet'. The Amazon founder believes the space company will be the best business he's ever been involved in.,0.2435897435897436,0.2871794871794872
2024-12-05 07:30:07.299088,"SAP SE (SAP) and Amazon Launch ‘GROW with SAP on AWS’ to Simplify Cloud ERP Adoption with AI Integration. We recently compiled a list of the 15 AI News That Broke The Internet. In this article, we are going to take a look at where SAP SE (NYSE:SAP) stands...",0.0,0.25
2024-12-05 07:30:07.332743,"Amazon successfully tests using delivery drones in Italy. Amazon said on Thursday it had successfully completed an initial test of using delivery drones in Italy, the first European country where the e-commerce...",0.35,0.44666666666666666
2024-12-05 06:30:07.371423,"Jeff Bezos says he's 'putting a lot of time' in at Amazon to help it become an AI winner. Speaking at The New York Times's DealBook conference on Wednesday, the billionaire said he hasn't fully left the company he founded 30 years ago.",0.06818181818181818,0.22727272727272727
