Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-02 04:00:00-05:00,422.94,423.17,422.94,423.03,0,0.0,0.0
2024-12-02 04:01:00-05:00,422.96,422.96,422.85,422.85,0,0.0,0.0
2024-12-02 04:03:00-05:00,422.38,422.39,422.38,422.39,0,0.0,0.0
2024-12-02 04:04:00-05:00,422.25,422.25,422.25,422.25,0,0.0,0.0
2024-12-02 04:05:00-05:00,422.05,422.4,422.05,422.06,0,0.0,0.0
2024-12-02 04:06:00-05:00,421.82,421.82,421.67,421.67,0,0.0,0.0
2024-12-02 04:07:00-05:00,421.53,421.53,421.51,421.51,0,0.0,0.0
2024-12-02 04:08:00-05:00,421.49,421.54,421.49,421.54,0,0.0,0.0
2024-12-02 04:09:00-05:00,421.69,422.3,421.69,422.2,0,0.0,0.0
2024-12-02 04:11:00-05:00,422.28,422.44,422.21,422.44,0,0.0,0.0
2024-12-02 04:13:00-05:00,422.34,422.43,422.34,422.43,0,0.0,0.0
2024-12-02 04:14:00-05:00,422.4,422.44,422.4,422.42,0,0.0,0.0
2024-12-02 04:16:00-05:00,422.39,422.44,422.39,422.44,0,0.0,0.0
2024-12-02 04:17:00-05:00,422.44,422.44,421.92,421.92,0,0.0,0.0
2024-12-02 04:19:00-05:00,421.92,421.92,421.92,421.92,0,0.0,0.0
2024-12-02 04:20:00-05:00,421.9,421.9,421.9,421.9,0,0.0,0.0
2024-12-02 04:21:00-05:00,421.82,421.82,421.81,421.81,0,0.0,0.0
2024-12-02 04:24:00-05:00,421.77,421.77,421.7,421.7,0,0.0,0.0
2024-12-02 04:26:00-05:00,421.47,421.47,421.47,421.47,0,0.0,0.0
2024-12-02 04:27:00-05:00,421.7,421.7,421.7,421.7,0,0.0,0.0
2024-12-02 04:30:00-05:00,421.66,421.66,421.66,421.66,0,0.0,0.0
2024-12-02 04:34:00-05:00,421.48,421.48,421.48,421.48,0,0.0,0.0
2024-12-02 04:35:00-05:00,421.3,421.3,421.3,421.3,0,0.0,0.0
2024-12-02 04:36:00-05:00,421.3,421.3,421.22,421.22,0,0.0,0.0
2024-12-02 04:37:00-05:00,421.16,421.16,421.0,421.0,0,0.0,0.0
2024-12-02 04:38:00-05:00,421.0,421.0,421.0,421.0,0,0.0,0.0
2024-12-02 04:39:00-05:00,420.89,420.89,420.89,420.89,0,0.0,0.0
2024-12-02 04:41:00-05:00,420.83,420.95,420.83,420.95,0,0.0,0.0
2024-12-02 04:42:00-05:00,421.1,421.1,421.1,421.1,0,0.0,0.0
2024-12-02 04:44:00-05:00,421.26,421.26,421.26,421.26,0,0.0,0.0
2024-12-02 04:45:00-05:00,421.18,421.18,421.15,421.15,0,0.0,0.0
2024-12-02 04:46:00-05:00,421.08,421.1,421.01,421.01,0,0.0,0.0
2024-12-02 04:48:00-05:00,421.2,421.36,421.2,421.36,0,0.0,0.0
2024-12-02 04:50:00-05:00,421.27,421.27,421.24,421.24,0,0.0,0.0
2024-12-02 04:52:00-05:00,421.1,421.1,421.1,421.1,0,0.0,0.0
2024-12-02 04:54:00-05:00,421.03,421.03,421.01,421.03,0,0.0,0.0
