Fecha,Noticia,Sentiment_Polarity,Sentiment_Subjectivity
2024-12-05 09:26:43.312722,"Wall Street’s Hottest Ticket: MicroStrategy and the Hedge Fund Frenzy. Michael Saylor, co-founder of MicroStrategy Inc. (MSTR), has transformed the company into the largest corporate holder of Bitcoin (BTC-USD), leveraging both...",0.0,0.0
2024-12-05 09:21:43.324489,"MicroStrategy Stock Set To Open 9% Higher As Bitcoin Tops $100K. The digital asset market is buzzing this morning after the world's largest cryptocurrency took out the $100000 mark, and proxy trades like MSTR are surging...",0.08333333333333333,0.3333333333333333
2024-12-05 09:20:43.332044,"MicroStrategy ONE Works with Zebra Technologies to Enhance its Workcloud Workforce Optimization Suite with New Reporting Capabilities. MicroStrategy® Incorporated (Nasdaq: MSTR), a pioneer in AI-powered business intelligence (BI), today announced that Zebra Technologies selected its c.",0.13636363636363635,0.45454545454545453
2024-12-05 09:20:43.339801,"MicroStrategy Lands Major Enterprise Deal: Zebra Technologies Adopts AI-Powered Analytics Platform | MSTR Stock News. MicroStrategy's cloud platform, featuring advanced AI capabilities, chosen by Zebra Technologies to power retail analytics and workforce optimization...",0.23125,0.55
2024-12-05 09:19:43.350328,"MicroStrategy’s Saylor Pitches Bitcoin to Microsoft Board. Michael Saylor, executive chairman of business intelligence firm MicroStrategy, recently gave a three-minute presentation to the Board of Directors of tech...",-0.1,0.325
2024-12-05 09:18:43.358211,"MicroStrategy, Robinhood, SentinelOne, AeroVironment, American Eagle, Synopsys, Signet, and More Movers. Crypto-linked stocks MicroStrategy, Coinbase, and Robinhood rise after Bitcoin surpasses $100000 for the first time, SentinelOne sinks after posting a wider...",0.1625,0.20833333333333331
2024-12-05 09:19:43.366230,"Stocks making the biggest moves premarket: American Eagle Outfitters, Five Below, MicroStrategy & more. Unlock this article by creating a free CNBC account. Benefits include creating stock watchlists and more.",0.35,0.45
2024-12-05 07:26:43.422481,"Stevens Capital Management LP Takes Position in MicroStrategy Incorporated (NASDAQ:MSTR). Stevens Capital Management LP bought a new position in MicroStrategy Incorporated (NASDAQ:MSTR - Free Report) during the 3rd quarter, according to its most...",0.2590909090909091,0.43863636363636366
2024-12-05 07:26:43.477835,"MicroStrategy’s Bitcoin Focus Sparks Investor Demand and Massive Stock Gains. MicroStrategy, under the leadership of co-founder Michael Saylor, has made a bold strategic shift towards Bitcoin, significantly impacting its stock.",0.23611111111111108,0.8472222222222222
2024-12-05 07:26:43.536652,"Why Hedge Funds Are Betting Big on MicroStrategy’s (NASDAQ:MSTR) Bitcoin Strategy. As MicroStrategy ($MSTR) continues to buy into Bitcoin (BTC-USD), it is interesting to look at where the company is getting the money to spend on...",0.25,0.3
