,date,open,high,low,close,volume,Date_mesure,sentiment_score_avg,sentiment_score_maj
0,2024-11-25,30.34000015258789,31.110000610351562,29.700000762939453,29.75,14988900,11/25/2024,-0.072,1
1,2024-11-26,29.389999389648438,29.440000534057617,27.3700008392334,27.600000381469727,10645100,11/26/2024,-0.072,1
2,2024-11-27,27.690000534057617,28.450000762939453,27.450000762939453,28.3700008392334,5339500,11/27/2024,-0.072,1
